ep,reward,win
0,14.0,False
1,13.0,False
2,25.0,False
3,17.0,False
4,27.0,False
5,15.0,False
6,31.0,False
7,17.0,False
8,16.0,False
9,13.0,False
10,14.0,False
11,32.0,False
12,13.0,False
13,38.0,False
14,14.0,False
15,14.0,False
16,32.0,False
17,15.0,False
18,28.0,False
19,21.0,False
20,27.0,False
21,47.0,False
22,58.0,False
23,10.0,False
24,22.0,False
25,13.0,False
26,17.0,False
27,32.0,False
28,13.0,False
29,33.0,False
30,12.0,False
31,25.0,False
32,12.0,False
33,27.0,False
34,26.0,False
35,44.0,False
36,13.0,False
37,19.0,False
38,17.0,False
39,17.0,False
40,60.0,False
41,29.0,False
42,44.0,False
43,18.0,False
44,17.0,False
45,52.0,False
46,17.0,False
47,24.0,False
48,33.0,False
49,9.0,False
50,13.0,False
51,17.0,False
52,13.0,False
53,13.0,False
54,20.0,False
55,20.0,False
56,20.0,False
57,31.0,False
58,23.0,False
59,16.0,False
60,14.0,False
61,16.0,False
62,14.0,False
63,15.0,False
64,46.0,False
65,49.0,False
66,14.0,False
67,16.0,False
68,14.0,False
69,12.0,False
70,25.0,False
71,26.0,False
72,25.0,False
73,16.0,False
74,13.0,False
75,16.0,False
76,13.0,False
77,21.0,False
78,12.0,False
79,62.0,False
80,15.0,False
81,11.0,False
82,15.0,False
83,27.0,False
84,12.0,False
85,15.0,False
86,10.0,False
87,41.0,False
88,25.0,False
89,37.0,False
90,11.0,False
91,12.0,False
92,55.0,False
93,17.0,False
94,26.0,False
95,10.0,False
96,15.0,False
97,13.0,False
98,24.0,False
99,22.0,False
100,30.0,False
101,13.0,False
102,11.0,False
103,32.0,False
104,18.0,False
105,15.0,False
106,16.0,False
107,20.0,False
108,29.0,False
109,23.0,False
110,11.0,False
111,10.0,False
112,47.0,False
113,41.0,False
114,26.0,False
115,11.0,False
116,16.0,False
117,9.0,False
118,21.0,False
119,30.0,False
120,14.0,False
121,16.0,False
122,16.0,False
123,25.0,False
124,17.0,False
125,23.0,False
126,15.0,False
127,19.0,False
128,14.0,False
129,16.0,False
130,12.0,False
131,43.0,False
132,12.0,False
133,15.0,False
134,18.0,False
135,14.0,False
136,25.0,False
137,12.0,False
138,30.0,False
139,22.0,False
140,22.0,False
141,12.0,False
142,8.0,False
143,9.0,False
144,12.0,False
145,35.0,False
146,20.0,False
147,22.0,False
148,36.0,False
149,39.0,False
150,29.0,False
151,16.0,False
152,12.0,False
153,13.0,False
154,37.0,False
155,15.0,False
156,56.0,False
157,12.0,False
158,26.0,False
159,15.0,False
160,17.0,False
161,16.0,False
162,13.0,False
163,12.0,False
164,9.0,False
165,19.0,False
166,31.0,False
167,15.0,False
168,13.0,False
169,9.0,False
170,18.0,False
171,18.0,False
172,16.0,False
