ep,reward,win
0,38.0,False
1,15.0,False
2,59.0,False
3,21.0,False
4,32.0,False
5,57.0,False
6,22.0,False
7,40.0,False
8,15.0,False
9,37.0,False
10,15.0,False
11,12.0,False
12,40.0,False
13,20.0,False
14,15.0,False
15,16.0,False
16,22.0,False
17,50.0,False
18,16.0,False
19,15.0,False
20,38.0,False
21,9.0,False
22,20.0,False
23,29.0,False
24,86.0,False
25,29.0,False
26,15.0,False
27,31.0,False
28,12.0,False
29,13.0,False
30,20.0,False
31,24.0,False
32,55.0,False
33,12.0,False
34,14.0,False
35,15.0,False
36,33.0,False
37,20.0,False
38,32.0,False
39,46.0,False
40,46.0,False
41,50.0,False
42,25.0,False
43,12.0,False
44,19.0,False
45,20.0,False
46,52.0,False
47,12.0,False
48,33.0,False
49,19.0,False
50,11.0,False
51,25.0,False
52,15.0,False
53,43.0,False
54,33.0,False
55,13.0,False
56,14.0,False
57,57.0,False
58,37.0,False
59,12.0,False
60,16.0,False
61,61.0,False
62,29.0,False
63,12.0,False
64,19.0,False
65,20.0,False
66,11.0,False
67,14.0,False
68,27.0,False
69,19.0,False
70,25.0,False
71,40.0,False
72,10.0,False
73,53.0,False
74,21.0,False
75,13.0,False
76,15.0,False
77,49.0,False
78,43.0,False
79,23.0,False
80,19.0,False
81,18.0,False
82,13.0,False
83,63.0,False
84,33.0,False
85,32.0,False
86,30.0,False
87,23.0,False
88,15.0,False
89,22.0,False
90,24.0,False
91,22.0,False
92,21.0,False
93,23.0,False
94,49.0,False
95,19.0,False
96,31.0,False
97,32.0,False
98,32.0,False
99,19.0,False
100,10.0,False
101,22.0,False
102,38.0,False
103,21.0,False
104,69.0,False
105,12.0,False
106,10.0,False
107,20.0,False
108,38.0,False
109,19.0,False
110,17.0,False
111,22.0,False
112,48.0,False
113,22.0,False
114,23.0,False
115,10.0,False
116,20.0,False
117,13.0,False
118,48.0,False
119,29.0,False
120,17.0,False
121,13.0,False
122,38.0,False
123,21.0,False
124,9.0,False
125,14.0,False
126,44.0,False
127,34.0,False
128,53.0,False
129,20.0,False
130,18.0,False
131,13.0,False
132,32.0,False
133,31.0,False
134,9.0,False
135,14.0,False
136,53.0,False
137,33.0,False
138,51.0,False
139,85.0,False
140,12.0,False
141,19.0,False
142,50.0,False
143,39.0,False
144,21.0,False
145,15.0,False
146,33.0,False
147,40.0,False
148,27.0,False
149,20.0,False
150,41.0,False
151,79.0,False
152,29.0,False
153,25.0,False
154,28.0,False
155,40.0,False
156,16.0,False
157,11.0,False
158,23.0,False
159,20.0,False
160,9.0,False
161,29.0,False
162,17.0,False
163,29.0,False
164,34.0,False
165,13.0,False
166,39.0,False
167,69.0,False
168,28.0,False
169,27.0,False
170,11.0,False
171,14.0,False
172,29.0,False
173,23.0,False
174,25.0,False
175,32.0,False
176,31.0,False
177,14.0,False
178,12.0,False
179,58.0,False
180,12.0,False
181,32.0,False
182,29.0,False
183,44.0,False
184,19.0,False
185,59.0,False
186,38.0,False
187,24.0,False
188,24.0,False
189,48.0,False
190,29.0,False
191,50.0,False
192,13.0,False
193,30.0,False
194,21.0,False
195,19.0,False
196,8.0,False
197,46.0,False
198,18.0,False
199,53.0,False
200,55.0,False
201,28.0,False
202,96.0,False
203,21.0,False
204,9.0,False
205,47.0,False
206,24.0,False
207,9.0,False
208,18.0,False
209,21.0,False
210,13.0,False
211,17.0,False
212,14.0,False
213,23.0,False
214,14.0,False
215,15.0,False
216,36.0,False
217,27.0,False
218,19.0,False
219,72.0,False
220,35.0,False
221,12.0,False
222,9.0,False
223,53.0,False
224,50.0,False
225,11.0,False
226,64.0,False
227,52.0,False
228,12.0,False
229,27.0,False
230,23.0,False
231,10.0,False
232,40.0,False
233,33.0,False
234,9.0,False
235,25.0,False
236,16.0,False
237,62.0,False
238,48.0,False
239,36.0,False
240,23.0,False
241,19.0,False
242,94.0,False
243,21.0,False
244,128.0,False
245,18.0,False
246,39.0,False
247,44.0,False
248,18.0,False
249,57.0,False
250,41.0,False
251,57.0,False
252,60.0,False
253,54.0,False
254,11.0,False
255,119.0,False
256,65.0,False
257,47.0,False
258,90.0,False
259,37.0,False
260,12.0,False
261,50.0,False
262,21.0,False
263,139.0,False
264,19.0,False
265,36.0,False
266,65.0,False
267,31.0,False
268,46.0,False
269,26.0,False
270,18.0,False
271,26.0,False
272,37.0,False
273,13.0,False
274,37.0,False
275,60.0,False
276,11.0,False
277,27.0,False
278,18.0,False
279,22.0,False
280,31.0,False
281,10.0,False
282,64.0,False
283,13.0,False
284,18.0,False
285,83.0,False
286,38.0,False
287,29.0,False
288,15.0,False
289,29.0,False
290,22.0,False
291,56.0,False
292,53.0,False
293,56.0,False
294,38.0,False
295,25.0,False
296,42.0,False
297,16.0,False
298,109.0,False
299,30.0,False
300,92.0,False
301,47.0,False
302,17.0,False
303,9.0,False
304,19.0,False
305,101.0,False
306,16.0,False
307,20.0,False
308,56.0,False
309,52.0,False
310,46.0,False
311,33.0,False
312,60.0,False
313,16.0,False
314,22.0,False
315,14.0,False
316,21.0,False
317,50.0,False
318,66.0,False
319,24.0,False
320,19.0,False
321,10.0,False
322,14.0,False
323,12.0,False
324,57.0,False
325,10.0,False
326,14.0,False
327,99.0,False
328,91.0,False
329,31.0,False
330,45.0,False
331,54.0,False
332,64.0,False
333,54.0,False
334,23.0,False
335,67.0,False
336,60.0,False
337,76.0,False
338,43.0,False
339,54.0,False
340,65.0,False
341,44.0,False
342,36.0,False
343,24.0,False
344,113.0,False
345,56.0,False
346,25.0,False
347,57.0,False
348,77.0,False
349,30.0,False
350,32.0,False
351,54.0,False
352,106.0,False
353,24.0,False
354,24.0,False
355,96.0,False
356,27.0,False
357,32.0,False
358,61.0,False
359,18.0,False
360,25.0,False
361,12.0,False
362,46.0,False
363,52.0,False
364,17.0,False
365,12.0,False
366,8.0,False
367,78.0,False
368,30.0,False
369,26.0,False
370,29.0,False
371,89.0,False
372,47.0,False
373,81.0,False
374,56.0,False
375,34.0,False
376,50.0,False
377,87.0,False
378,49.0,False
379,61.0,False
380,65.0,False
381,33.0,False
382,63.0,False
383,109.0,False
384,28.0,False
385,56.0,False
386,57.0,False
387,62.0,False
388,56.0,False
389,52.0,False
390,56.0,False
391,85.0,False
392,60.0,False
393,59.0,False
394,24.0,False
395,74.0,False
396,73.0,False
397,66.0,False
398,98.0,False
399,77.0,False
400,91.0,False
401,61.0,False
402,77.0,False
403,43.0,False
404,32.0,False
405,52.0,False
406,81.0,False
407,49.0,False
408,47.0,False
409,97.0,False
410,45.0,False
411,40.0,False
412,58.0,False
413,71.0,False
414,16.0,False
415,16.0,False
416,57.0,False
417,102.0,False
418,14.0,False
419,62.0,False
420,48.0,False
421,71.0,False
422,81.0,False
423,35.0,False
424,45.0,False
425,38.0,False
426,54.0,False
427,123.0,False
428,77.0,False
429,68.0,False
430,93.0,False
431,72.0,False
432,40.0,False
433,48.0,False
434,64.0,False
435,102.0,False
436,133.0,False
437,75.0,False
438,49.0,False
439,51.0,False
440,71.0,False
441,88.0,False
442,54.0,False
443,59.0,False
444,101.0,False
445,81.0,False
446,117.0,False
447,116.0,False
448,135.0,False
449,89.0,False
450,20.0,False
451,141.0,False
452,54.0,False
453,67.0,False
454,74.0,False
455,123.0,False
456,54.0,False
457,114.0,False
458,20.0,False
459,30.0,False
460,53.0,False
461,56.0,False
462,43.0,False
463,97.0,False
464,95.0,False
465,65.0,False
466,51.0,False
467,55.0,False
468,78.0,False
469,52.0,False
470,73.0,False
471,37.0,False
472,67.0,False
473,105.0,False
474,67.0,False
475,79.0,False
476,90.0,False
477,122.0,False
478,58.0,False
479,53.0,False
480,47.0,False
481,119.0,False
482,73.0,False
483,53.0,False
484,61.0,False
485,181.0,False
486,93.0,False
487,99.0,False
488,154.0,False
489,111.0,False
490,77.0,False
491,76.0,False
492,133.0,False
493,67.0,False
494,57.0,False
495,79.0,False
496,64.0,False
497,118.0,False
498,40.0,False
499,102.0,False
500,62.0,False
501,67.0,False
502,36.0,False
503,57.0,False
504,53.0,False
505,125.0,False
506,31.0,False
507,88.0,False
508,56.0,False
509,127.0,False
510,68.0,False
511,79.0,False
512,87.0,False
513,86.0,False
514,74.0,False
515,127.0,False
516,125.0,False
517,84.0,False
518,145.0,False
519,115.0,False
520,111.0,False
521,121.0,False
522,166.0,False
523,183.0,False
524,163.0,False
525,123.0,False
526,123.0,False
527,188.0,False
528,200.0,True
529,132.0,False
530,117.0,False
531,111.0,False
532,161.0,False
533,117.0,False
534,60.0,False
535,200.0,True
536,137.0,False
537,119.0,False
538,106.0,False
539,200.0,True
540,147.0,False
541,145.0,False
542,70.0,False
543,134.0,False
544,108.0,False
545,166.0,False
546,117.0,False
547,101.0,False
548,63.0,False
549,102.0,False
550,140.0,False
551,149.0,False
552,171.0,False
553,114.0,False
554,114.0,False
555,153.0,False
556,191.0,False
557,138.0,False
558,200.0,True
559,103.0,False
560,119.0,False
561,136.0,False
562,200.0,True
563,114.0,False
564,170.0,False
565,166.0,False
566,191.0,False
567,200.0,True
568,70.0,False
569,106.0,False
570,121.0,False
571,123.0,False
572,200.0,True
573,111.0,False
574,109.0,False
575,148.0,False
576,200.0,True
577,154.0,False
578,197.0,False
579,110.0,False
580,93.0,False
581,66.0,False
582,112.0,False
583,147.0,False
584,197.0,False
585,107.0,False
586,109.0,False
587,109.0,False
588,115.0,False
589,125.0,False
590,109.0,False
591,200.0,True
592,147.0,False
593,193.0,False
594,126.0,False
595,145.0,False
596,165.0,False
597,104.0,False
598,95.0,False
599,193.0,False
600,95.0,False
601,174.0,False
602,137.0,False
603,138.0,False
604,152.0,False
605,112.0,False
606,145.0,False
607,110.0,False
608,103.0,False
609,116.0,False
610,112.0,False
611,130.0,False
612,172.0,False
613,200.0,True
614,115.0,False
615,133.0,False
616,186.0,False
617,200.0,True
618,200.0,True
619,159.0,False
620,112.0,False
621,200.0,True
622,136.0,False
623,109.0,False
624,166.0,False
625,111.0,False
626,125.0,False
627,147.0,False
628,195.0,False
629,150.0,False
630,170.0,False
631,168.0,False
632,159.0,False
633,125.0,False
634,124.0,False
635,169.0,False
636,111.0,False
637,169.0,False
638,170.0,False
639,159.0,False
640,107.0,False
641,113.0,False
642,165.0,False
643,106.0,False
644,109.0,False
645,155.0,False
646,183.0,False
647,200.0,True
648,108.0,False
649,106.0,False
650,108.0,False
651,200.0,True
652,113.0,False
653,195.0,False
654,164.0,False
655,177.0,False
656,153.0,False
657,175.0,False
658,153.0,False
659,187.0,False
660,156.0,False
661,177.0,False
662,119.0,False
663,179.0,False
664,116.0,False
665,171.0,False
666,111.0,False
667,159.0,False
668,162.0,False
669,200.0,True
670,107.0,False
671,158.0,False
672,159.0,False
673,118.0,False
674,106.0,False
675,200.0,True
676,140.0,False
677,177.0,False
678,200.0,True
679,148.0,False
680,117.0,False
681,190.0,False
682,119.0,False
683,121.0,False
684,151.0,False
685,200.0,True
686,113.0,False
687,114.0,False
688,159.0,False
689,191.0,False
690,121.0,False
691,168.0,False
692,127.0,False
693,143.0,False
694,181.0,False
695,156.0,False
696,153.0,False
697,163.0,False
698,112.0,False
699,200.0,True
700,107.0,False
701,160.0,False
702,191.0,False
703,119.0,False
704,200.0,True
705,126.0,False
706,112.0,False
707,200.0,True
708,107.0,False
709,165.0,False
710,197.0,False
711,109.0,False
712,138.0,False
713,111.0,False
714,195.0,False
715,119.0,False
716,105.0,False
717,104.0,False
718,144.0,False
719,200.0,True
720,181.0,False
721,106.0,False
722,110.0,False
723,127.0,False
724,199.0,False
725,199.0,False
726,200.0,True
727,200.0,True
728,109.0,False
729,200.0,True
730,190.0,False
731,171.0,False
732,144.0,False
733,116.0,False
734,159.0,False
735,161.0,False
736,173.0,False
737,155.0,False
738,137.0,False
739,112.0,False
740,195.0,False
741,200.0,True
742,123.0,False
743,110.0,False
744,114.0,False
745,200.0,True
746,143.0,False
747,200.0,True
748,156.0,False
749,119.0,False
750,102.0,False
751,164.0,False
752,200.0,True
753,123.0,False
754,187.0,False
755,200.0,True
756,181.0,False
757,116.0,False
758,114.0,False
759,189.0,False
760,111.0,False
761,152.0,False
762,190.0,False
763,189.0,False
764,121.0,False
765,141.0,False
766,173.0,False
767,159.0,False
768,108.0,False
769,136.0,False
770,119.0,False
771,200.0,True
772,198.0,False
773,104.0,False
774,109.0,False
775,107.0,False
776,171.0,False
777,200.0,True
778,177.0,False
779,139.0,False
780,105.0,False
781,113.0,False
782,175.0,False
783,103.0,False
784,117.0,False
785,163.0,False
786,156.0,False
787,173.0,False
788,111.0,False
789,137.0,False
790,168.0,False
791,104.0,False
792,104.0,False
793,200.0,True
794,166.0,False
795,138.0,False
796,126.0,False
797,200.0,True
798,169.0,False
799,112.0,False
800,200.0,True
801,152.0,False
802,130.0,False
803,111.0,False
804,156.0,False
805,108.0,False
806,179.0,False
807,121.0,False
808,131.0,False
809,153.0,False
810,200.0,True
811,154.0,False
812,168.0,False
813,123.0,False
814,121.0,False
815,189.0,False
816,114.0,False
817,200.0,True
818,125.0,False
819,146.0,False
820,186.0,False
821,149.0,False
822,200.0,True
823,200.0,True
824,200.0,True
825,113.0,False
826,104.0,False
827,161.0,False
828,191.0,False
829,107.0,False
830,181.0,False
831,105.0,False
832,113.0,False
833,155.0,False
834,200.0,True
835,159.0,False
836,200.0,True
837,200.0,True
838,111.0,False
839,123.0,False
840,106.0,False
841,200.0,True
842,147.0,False
843,106.0,False
844,115.0,False
845,129.0,False
846,171.0,False
847,147.0,False
848,120.0,False
849,141.0,False
