ep,reward,win
0,13.0,False
1,12.0,False
2,13.0,False
3,10.0,False
4,21.0,False
5,39.0,False
6,15.0,False
7,34.0,False
8,12.0,False
9,25.0,False
10,17.0,False
11,15.0,False
12,32.0,False
13,24.0,False
14,16.0,False
15,45.0,False
16,11.0,False
17,13.0,False
18,19.0,False
19,11.0,False
20,23.0,False
21,17.0,False
22,34.0,False
23,21.0,False
24,13.0,False
25,24.0,False
26,18.0,False
27,19.0,False
28,12.0,False
29,12.0,False
30,24.0,False
31,17.0,False
32,19.0,False
33,10.0,False
34,19.0,False
35,19.0,False
36,12.0,False
37,21.0,False
38,15.0,False
39,14.0,False
40,24.0,False
41,14.0,False
42,17.0,False
43,33.0,False
44,16.0,False
45,31.0,False
46,30.0,False
47,14.0,False
48,22.0,False
49,11.0,False
50,27.0,False
51,15.0,False
52,12.0,False
53,18.0,False
54,13.0,False
55,50.0,False
56,45.0,False
57,24.0,False
58,15.0,False
59,61.0,False
60,11.0,False
61,16.0,False
62,40.0,False
63,12.0,False
64,15.0,False
65,13.0,False
66,25.0,False
67,31.0,False
68,24.0,False
69,26.0,False
70,19.0,False
71,30.0,False
72,16.0,False
73,15.0,False
74,33.0,False
75,22.0,False
76,12.0,False
77,37.0,False
78,26.0,False
79,24.0,False
80,21.0,False
81,19.0,False
82,21.0,False
83,15.0,False
84,27.0,False
85,27.0,False
86,30.0,False
87,13.0,False
88,12.0,False
89,29.0,False
90,43.0,False
91,13.0,False
92,11.0,False
93,26.0,False
94,22.0,False
95,22.0,False
96,9.0,False
97,61.0,False
98,41.0,False
99,20.0,False
100,9.0,False
101,47.0,False
102,19.0,False
103,28.0,False
104,25.0,False
105,10.0,False
106,32.0,False
107,47.0,False
108,24.0,False
109,40.0,False
110,15.0,False
111,46.0,False
112,22.0,False
113,25.0,False
114,22.0,False
115,42.0,False
116,25.0,False
117,14.0,False
118,48.0,False
119,14.0,False
120,13.0,False
121,16.0,False
122,59.0,False
123,24.0,False
124,30.0,False
125,48.0,False
126,20.0,False
127,48.0,False
128,37.0,False
129,11.0,False
130,26.0,False
131,37.0,False
132,13.0,False
133,20.0,False
134,35.0,False
135,27.0,False
136,14.0,False
137,27.0,False
138,12.0,False
139,10.0,False
140,13.0,False
141,37.0,False
142,28.0,False
143,23.0,False
144,15.0,False
145,19.0,False
146,30.0,False
147,19.0,False
148,38.0,False
149,53.0,False
150,15.0,False
151,22.0,False
152,13.0,False
153,26.0,False
154,13.0,False
155,15.0,False
156,25.0,False
157,22.0,False
158,27.0,False
159,36.0,False
160,16.0,False
161,25.0,False
162,17.0,False
163,12.0,False
164,15.0,False
165,24.0,False
166,25.0,False
167,29.0,False
168,15.0,False
169,32.0,False
170,68.0,False
171,12.0,False
172,57.0,False
173,25.0,False
174,33.0,False
175,66.0,False
176,13.0,False
177,12.0,False
178,17.0,False
179,27.0,False
180,14.0,False
181,33.0,False
182,28.0,False
183,26.0,False
184,68.0,False
185,27.0,False
186,20.0,False
187,60.0,False
188,50.0,False
189,56.0,False
190,32.0,False
191,12.0,False
192,29.0,False
193,36.0,False
194,17.0,False
195,22.0,False
196,21.0,False
197,32.0,False
198,71.0,False
199,48.0,False
200,45.0,False
201,17.0,False
202,10.0,False
203,38.0,False
204,23.0,False
205,23.0,False
206,27.0,False
207,48.0,False
208,12.0,False
209,13.0,False
210,15.0,False
211,12.0,False
212,38.0,False
213,39.0,False
214,31.0,False
215,47.0,False
216,18.0,False
217,16.0,False
218,41.0,False
219,8.0,False
220,39.0,False
221,13.0,False
222,27.0,False
223,42.0,False
224,18.0,False
225,23.0,False
226,30.0,False
227,34.0,False
228,9.0,False
229,23.0,False
230,23.0,False
231,33.0,False
232,28.0,False
233,21.0,False
234,14.0,False
235,15.0,False
236,33.0,False
237,31.0,False
238,35.0,False
239,22.0,False
240,64.0,False
241,25.0,False
242,38.0,False
243,29.0,False
244,57.0,False
245,41.0,False
246,73.0,False
247,8.0,False
248,50.0,False
249,56.0,False
250,62.0,False
251,44.0,False
252,56.0,False
253,43.0,False
254,53.0,False
255,53.0,False
256,43.0,False
257,55.0,False
258,60.0,False
259,15.0,False
260,26.0,False
261,32.0,False
262,65.0,False
263,70.0,False
264,119.0,False
265,16.0,False
266,20.0,False
267,18.0,False
268,20.0,False
269,22.0,False
270,14.0,False
271,70.0,False
272,9.0,False
273,56.0,False
274,39.0,False
275,53.0,False
276,48.0,False
277,30.0,False
278,42.0,False
279,68.0,False
280,97.0,False
281,32.0,False
282,41.0,False
283,65.0,False
284,22.0,False
285,36.0,False
286,15.0,False
287,14.0,False
288,65.0,False
289,52.0,False
290,48.0,False
291,27.0,False
292,54.0,False
293,76.0,False
294,23.0,False
295,46.0,False
296,62.0,False
297,24.0,False
298,42.0,False
299,67.0,False
300,29.0,False
301,51.0,False
302,46.0,False
303,30.0,False
304,66.0,False
305,24.0,False
306,12.0,False
307,41.0,False
308,20.0,False
309,68.0,False
310,40.0,False
311,60.0,False
312,28.0,False
313,65.0,False
314,59.0,False
315,32.0,False
316,62.0,False
317,56.0,False
318,57.0,False
319,45.0,False
320,33.0,False
321,137.0,False
322,77.0,False
323,57.0,False
324,24.0,False
325,88.0,False
326,84.0,False
327,58.0,False
328,21.0,False
329,54.0,False
330,61.0,False
331,37.0,False
332,48.0,False
333,84.0,False
334,30.0,False
335,70.0,False
336,31.0,False
337,65.0,False
338,30.0,False
339,52.0,False
340,89.0,False
341,57.0,False
342,57.0,False
343,51.0,False
344,63.0,False
345,64.0,False
346,91.0,False
347,81.0,False
348,91.0,False
349,70.0,False
350,44.0,False
351,70.0,False
352,95.0,False
353,19.0,False
354,47.0,False
355,40.0,False
356,54.0,False
357,12.0,False
358,76.0,False
359,37.0,False
360,37.0,False
361,56.0,False
362,76.0,False
363,42.0,False
364,47.0,False
365,57.0,False
366,63.0,False
367,94.0,False
368,22.0,False
369,87.0,False
370,167.0,False
371,159.0,False
372,200.0,True
373,69.0,False
374,177.0,False
375,123.0,False
376,93.0,False
377,50.0,False
378,48.0,False
379,126.0,False
380,155.0,False
381,122.0,False
382,70.0,False
383,35.0,False
384,200.0,True
385,171.0,False
386,94.0,False
387,29.0,False
388,173.0,False
389,200.0,True
390,63.0,False
391,100.0,False
392,150.0,False
393,49.0,False
394,39.0,False
395,92.0,False
396,78.0,False
397,125.0,False
398,41.0,False
399,93.0,False
400,97.0,False
401,65.0,False
402,41.0,False
403,68.0,False
404,82.0,False
405,62.0,False
406,55.0,False
407,68.0,False
408,73.0,False
409,33.0,False
410,65.0,False
411,33.0,False
412,58.0,False
413,73.0,False
414,32.0,False
415,200.0,True
416,200.0,True
417,101.0,False
418,109.0,False
419,55.0,False
420,55.0,False
421,81.0,False
422,141.0,False
423,70.0,False
424,44.0,False
425,131.0,False
426,167.0,False
427,51.0,False
428,200.0,True
429,135.0,False
430,57.0,False
431,71.0,False
432,152.0,False
433,54.0,False
434,121.0,False
435,200.0,True
436,140.0,False
437,48.0,False
438,110.0,False
439,167.0,False
440,50.0,False
441,114.0,False
442,94.0,False
443,53.0,False
444,70.0,False
445,116.0,False
446,89.0,False
447,102.0,False
448,57.0,False
449,58.0,False
450,132.0,False
451,43.0,False
452,117.0,False
453,185.0,False
454,153.0,False
455,76.0,False
456,58.0,False
457,172.0,False
458,93.0,False
459,117.0,False
460,200.0,True
461,165.0,False
462,200.0,True
463,105.0,False
464,62.0,False
465,63.0,False
466,98.0,False
467,200.0,True
468,138.0,False
469,200.0,True
470,44.0,False
471,54.0,False
472,200.0,True
473,179.0,False
474,170.0,False
475,73.0,False
476,53.0,False
477,119.0,False
478,164.0,False
479,54.0,False
480,102.0,False
481,83.0,False
482,200.0,True
483,175.0,False
484,88.0,False
485,130.0,False
486,68.0,False
487,200.0,True
488,76.0,False
489,85.0,False
490,150.0,False
491,179.0,False
492,67.0,False
493,112.0,False
494,200.0,True
495,54.0,False
496,200.0,True
497,50.0,False
498,155.0,False
499,167.0,False
500,50.0,False
501,200.0,True
502,146.0,False
503,77.0,False
504,180.0,False
505,200.0,True
506,82.0,False
507,110.0,False
508,200.0,True
509,200.0,True
510,76.0,False
511,54.0,False
512,200.0,True
513,82.0,False
514,42.0,False
515,121.0,False
516,141.0,False
517,144.0,False
518,200.0,True
519,168.0,False
520,198.0,False
521,157.0,False
522,80.0,False
523,130.0,False
524,200.0,True
525,57.0,False
526,108.0,False
527,200.0,True
528,122.0,False
529,177.0,False
530,71.0,False
531,71.0,False
532,200.0,True
533,200.0,True
534,200.0,True
535,59.0,False
536,77.0,False
537,200.0,True
538,200.0,True
539,163.0,False
540,200.0,True
541,190.0,False
542,199.0,False
543,138.0,False
544,200.0,True
545,200.0,True
546,139.0,False
547,200.0,True
548,105.0,False
549,200.0,True
550,82.0,False
551,200.0,True
552,200.0,True
553,200.0,True
554,200.0,True
555,200.0,True
556,200.0,True
557,192.0,False
558,140.0,False
559,26.0,False
560,70.0,False
561,30.0,False
562,54.0,False
563,200.0,True
564,200.0,True
565,163.0,False
566,200.0,True
567,175.0,False
568,200.0,True
569,57.0,False
570,200.0,True
571,200.0,True
572,200.0,True
573,200.0,True
574,200.0,True
575,200.0,True
576,200.0,True
577,200.0,True
578,200.0,True
579,200.0,True
580,200.0,True
581,200.0,True
582,200.0,True
583,200.0,True
584,200.0,True
585,200.0,True
586,82.0,False
587,41.0,False
588,30.0,False
589,26.0,False
590,92.0,False
591,31.0,False
592,38.0,False
593,26.0,False
594,200.0,True
595,200.0,True
596,200.0,True
597,200.0,True
598,200.0,True
599,200.0,True
600,200.0,True
601,200.0,True
602,187.0,False
603,200.0,True
604,200.0,True
605,68.0,False
606,200.0,True
