ep,reward,win
0,9.0,False
1,26.0,False
2,20.0,False
3,16.0,False
4,17.0,False
5,13.0,False
6,11.0,False
7,16.0,False
8,12.0,False
9,9.0,False
10,11.0,False
11,21.0,False
12,11.0,False
13,14.0,False
14,48.0,False
15,16.0,False
16,9.0,False
17,12.0,False
18,15.0,False
19,43.0,False
20,19.0,False
21,11.0,False
22,26.0,False
23,18.0,False
24,22.0,False
25,14.0,False
26,22.0,False
27,10.0,False
28,8.0,False
29,16.0,False
30,13.0,False
31,20.0,False
32,9.0,False
33,13.0,False
34,15.0,False
35,27.0,False
36,33.0,False
37,18.0,False
38,12.0,False
39,15.0,False
40,10.0,False
41,16.0,False
42,11.0,False
43,12.0,False
44,29.0,False
45,11.0,False
46,11.0,False
47,27.0,False
48,14.0,False
49,19.0,False
50,57.0,False
51,13.0,False
52,14.0,False
53,19.0,False
54,15.0,False
55,15.0,False
56,11.0,False
57,12.0,False
58,16.0,False
59,24.0,False
60,12.0,False
61,35.0,False
62,11.0,False
63,55.0,False
64,21.0,False
65,29.0,False
66,29.0,False
67,11.0,False
68,19.0,False
69,17.0,False
70,26.0,False
71,16.0,False
72,17.0,False
73,20.0,False
74,11.0,False
75,9.0,False
76,38.0,False
77,28.0,False
78,12.0,False
79,18.0,False
80,9.0,False
81,18.0,False
82,8.0,False
83,17.0,False
84,20.0,False
85,38.0,False
86,12.0,False
87,13.0,False
88,19.0,False
89,18.0,False
90,9.0,False
91,32.0,False
92,35.0,False
93,18.0,False
94,11.0,False
95,16.0,False
96,10.0,False
97,23.0,False
98,10.0,False
99,11.0,False
100,16.0,False
101,9.0,False
102,26.0,False
103,9.0,False
104,18.0,False
105,29.0,False
106,10.0,False
107,9.0,False
108,11.0,False
109,31.0,False
110,17.0,False
111,14.0,False
112,11.0,False
113,23.0,False
114,14.0,False
115,21.0,False
116,11.0,False
117,11.0,False
118,13.0,False
119,18.0,False
120,15.0,False
121,10.0,False
122,13.0,False
123,14.0,False
124,30.0,False
125,21.0,False
126,14.0,False
127,13.0,False
128,11.0,False
129,13.0,False
130,10.0,False
131,15.0,False
132,13.0,False
133,16.0,False
134,15.0,False
135,29.0,False
136,15.0,False
137,25.0,False
138,12.0,False
139,12.0,False
140,13.0,False
141,33.0,False
142,15.0,False
143,16.0,False
144,14.0,False
145,10.0,False
146,17.0,False
147,15.0,False
148,16.0,False
149,11.0,False
150,11.0,False
151,10.0,False
152,10.0,False
153,13.0,False
154,13.0,False
155,18.0,False
156,14.0,False
157,19.0,False
158,10.0,False
159,10.0,False
160,16.0,False
161,13.0,False
162,14.0,False
163,10.0,False
164,18.0,False
165,26.0,False
166,17.0,False
167,15.0,False
168,30.0,False
169,10.0,False
170,30.0,False
171,19.0,False
172,11.0,False
173,16.0,False
174,13.0,False
175,11.0,False
176,60.0,False
177,11.0,False
178,13.0,False
179,16.0,False
180,11.0,False
181,11.0,False
182,8.0,False
183,31.0,False
184,27.0,False
185,58.0,False
186,16.0,False
187,18.0,False
188,16.0,False
189,15.0,False
190,18.0,False
191,10.0,False
192,18.0,False
193,14.0,False
194,25.0,False
195,26.0,False
196,35.0,False
197,11.0,False
198,11.0,False
199,9.0,False
200,11.0,False
201,12.0,False
202,17.0,False
203,12.0,False
204,14.0,False
205,30.0,False
206,15.0,False
207,9.0,False
208,9.0,False
209,16.0,False
210,10.0,False
211,20.0,False
212,38.0,False
213,10.0,False
214,14.0,False
215,18.0,False
216,15.0,False
217,18.0,False
218,39.0,False
219,11.0,False
220,10.0,False
221,35.0,False
222,20.0,False
223,9.0,False
224,10.0,False
225,12.0,False
226,23.0,False
227,26.0,False
228,22.0,False
229,15.0,False
230,12.0,False
231,9.0,False
232,18.0,False
233,13.0,False
234,12.0,False
235,11.0,False
236,59.0,False
237,8.0,False
238,16.0,False
239,9.0,False
240,14.0,False
241,19.0,False
242,18.0,False
243,11.0,False
244,11.0,False
245,15.0,False
246,19.0,False
247,11.0,False
248,13.0,False
249,19.0,False
250,12.0,False
251,10.0,False
252,11.0,False
253,9.0,False
254,29.0,False
255,14.0,False
