ep,reward,win
0,15.0,False
1,16.0,False
2,32.0,False
3,34.0,False
4,13.0,False
5,14.0,False
6,36.0,False
7,18.0,False
8,21.0,False
9,12.0,False
10,22.0,False
11,15.0,False
12,20.0,False
13,11.0,False
14,31.0,False
15,11.0,False
16,86.0,False
17,17.0,False
18,19.0,False
19,9.0,False
20,20.0,False
21,16.0,False
22,31.0,False
23,17.0,False
24,12.0,False
25,13.0,False
26,14.0,False
27,65.0,False
28,22.0,False
29,12.0,False
30,20.0,False
31,12.0,False
32,25.0,False
33,11.0,False
34,27.0,False
35,16.0,False
36,13.0,False
37,17.0,False
38,29.0,False
39,22.0,False
40,9.0,False
41,33.0,False
42,15.0,False
43,17.0,False
44,24.0,False
45,22.0,False
46,16.0,False
47,16.0,False
48,58.0,False
49,15.0,False
50,9.0,False
51,23.0,False
52,31.0,False
53,19.0,False
54,15.0,False
55,14.0,False
56,18.0,False
57,15.0,False
58,21.0,False
59,10.0,False
60,12.0,False
61,13.0,False
62,11.0,False
63,38.0,False
64,35.0,False
65,71.0,False
66,17.0,False
67,14.0,False
68,12.0,False
69,11.0,False
70,20.0,False
71,13.0,False
72,12.0,False
73,19.0,False
74,28.0,False
75,15.0,False
76,15.0,False
77,25.0,False
78,16.0,False
79,17.0,False
80,15.0,False
81,21.0,False
82,13.0,False
83,17.0,False
84,29.0,False
85,9.0,False
86,25.0,False
87,11.0,False
88,29.0,False
89,15.0,False
90,13.0,False
91,14.0,False
92,27.0,False
93,17.0,False
94,17.0,False
95,14.0,False
96,18.0,False
97,13.0,False
98,31.0,False
99,16.0,False
100,14.0,False
101,18.0,False
102,15.0,False
103,18.0,False
104,26.0,False
105,40.0,False
106,18.0,False
107,21.0,False
108,10.0,False
109,46.0,False
110,13.0,False
111,13.0,False
112,17.0,False
113,32.0,False
114,18.0,False
115,16.0,False
116,18.0,False
117,18.0,False
118,22.0,False
119,46.0,False
120,13.0,False
121,43.0,False
122,37.0,False
123,11.0,False
124,20.0,False
125,9.0,False
126,12.0,False
127,14.0,False
128,18.0,False
129,16.0,False
130,17.0,False
131,14.0,False
132,10.0,False
133,20.0,False
134,24.0,False
135,14.0,False
136,13.0,False
137,19.0,False
138,12.0,False
139,15.0,False
140,11.0,False
141,10.0,False
142,21.0,False
143,37.0,False
144,50.0,False
145,26.0,False
146,16.0,False
147,14.0,False
148,20.0,False
149,10.0,False
150,11.0,False
151,14.0,False
152,20.0,False
153,14.0,False
154,11.0,False
155,9.0,False
156,11.0,False
157,11.0,False
