ep,reward,win
0,13.0,False
1,13.0,False
2,19.0,False
3,54.0,False
4,21.0,False
5,17.0,False
6,27.0,False
7,47.0,False
8,19.0,False
9,41.0,False
10,21.0,False
11,10.0,False
12,16.0,False
13,29.0,False
14,18.0,False
15,28.0,False
16,22.0,False
17,12.0,False
18,10.0,False
19,26.0,False
20,19.0,False
21,14.0,False
22,13.0,False
23,15.0,False
24,19.0,False
25,37.0,False
26,30.0,False
27,38.0,False
28,19.0,False
29,39.0,False
30,36.0,False
31,15.0,False
32,14.0,False
33,62.0,False
34,20.0,False
35,41.0,False
36,28.0,False
37,13.0,False
38,12.0,False
39,11.0,False
40,17.0,False
41,23.0,False
42,34.0,False
43,26.0,False
44,31.0,False
45,22.0,False
46,11.0,False
47,50.0,False
48,17.0,False
49,15.0,False
50,19.0,False
51,37.0,False
52,13.0,False
53,11.0,False
54,15.0,False
55,16.0,False
56,14.0,False
57,73.0,False
58,23.0,False
59,28.0,False
60,30.0,False
61,18.0,False
62,10.0,False
63,11.0,False
64,27.0,False
65,26.0,False
66,18.0,False
67,16.0,False
68,17.0,False
69,8.0,False
70,18.0,False
71,10.0,False
72,16.0,False
73,19.0,False
74,25.0,False
75,14.0,False
76,15.0,False
77,23.0,False
78,9.0,False
79,17.0,False
80,18.0,False
81,10.0,False
82,15.0,False
83,12.0,False
84,60.0,False
85,16.0,False
86,19.0,False
87,13.0,False
88,12.0,False
89,10.0,False
90,18.0,False
91,9.0,False
92,17.0,False
93,12.0,False
94,20.0,False
95,15.0,False
96,18.0,False
97,65.0,False
98,19.0,False
99,26.0,False
100,15.0,False
101,10.0,False
102,51.0,False
103,14.0,False
104,13.0,False
105,17.0,False
106,31.0,False
107,14.0,False
108,8.0,False
109,19.0,False
110,19.0,False
111,24.0,False
112,33.0,False
113,27.0,False
114,31.0,False
115,12.0,False
116,11.0,False
117,17.0,False
118,16.0,False
119,20.0,False
120,67.0,False
121,18.0,False
122,24.0,False
123,31.0,False
124,13.0,False
125,27.0,False
126,9.0,False
127,37.0,False
128,39.0,False
129,13.0,False
130,14.0,False
131,25.0,False
132,18.0,False
133,20.0,False
134,45.0,False
135,10.0,False
136,42.0,False
137,38.0,False
138,15.0,False
139,26.0,False
140,23.0,False
141,18.0,False
142,11.0,False
143,25.0,False
144,15.0,False
145,16.0,False
146,53.0,False
147,14.0,False
148,20.0,False
149,51.0,False
150,33.0,False
151,14.0,False
152,24.0,False
153,17.0,False
154,33.0,False
155,29.0,False
156,27.0,False
157,30.0,False
158,21.0,False
159,10.0,False
160,14.0,False
161,12.0,False
162,21.0,False
163,17.0,False
164,67.0,False
165,62.0,False
166,23.0,False
167,35.0,False
168,31.0,False
169,50.0,False
170,27.0,False
171,18.0,False
172,29.0,False
173,26.0,False
174,39.0,False
175,16.0,False
176,27.0,False
177,17.0,False
178,26.0,False
179,21.0,False
180,13.0,False
181,9.0,False
182,10.0,False
183,30.0,False
184,40.0,False
185,10.0,False
186,34.0,False
187,14.0,False
188,33.0,False
189,32.0,False
190,14.0,False
191,35.0,False
192,29.0,False
193,33.0,False
194,19.0,False
195,28.0,False
196,12.0,False
197,25.0,False
198,29.0,False
199,15.0,False
200,27.0,False
201,46.0,False
202,44.0,False
203,35.0,False
204,17.0,False
205,11.0,False
206,38.0,False
207,21.0,False
208,14.0,False
209,22.0,False
210,30.0,False
211,53.0,False
212,13.0,False
213,25.0,False
214,75.0,False
215,43.0,False
216,39.0,False
217,13.0,False
218,17.0,False
219,17.0,False
220,22.0,False
221,15.0,False
222,20.0,False
223,13.0,False
224,27.0,False
225,39.0,False
226,13.0,False
227,8.0,False
228,15.0,False
229,34.0,False
230,22.0,False
231,18.0,False
232,16.0,False
233,13.0,False
234,18.0,False
235,11.0,False
236,12.0,False
237,33.0,False
238,17.0,False
239,27.0,False
240,29.0,False
241,33.0,False
242,18.0,False
243,11.0,False
244,24.0,False
245,19.0,False
246,44.0,False
247,14.0,False
248,18.0,False
249,107.0,False
250,55.0,False
251,14.0,False
